Country Name,Year,Exports,FDI,GDP,Imports,Tariff_Rate,Trade_Balance,GDP_bil,FDI_bil,TB_bil
South Africa,2013,113644229416.438,-1712645458.1049,400886013595.573,122157980366.483,4.15,-8513750950.044998,400.886013595573,-1.7126454581049,-8.513750950044999
South Africa,2014,110444934431.209,1900417868.97786,381198869776.106,116208257485.802,3.87,-5763323054.593002,381.198869776106,1.90041786897786,-5.763323054593003
South Africa,2015,96346520856.1961,3993788900.72149,346709790458.563,100802826496.631,4.38,-4456305640.434891,346.70979045856296,3.9937889007214897,-4.45630564043489
South Africa,2016,91482650746.4622,2275171115.05217,323585509674.481,89948758687.3089,4.51,1533892059.153305,323.58550967448105,2.27517111505217,1.533892059153305
South Africa,2017,104172007272.968,5390643572.87582,381448814653.456,99822924052.9297,4.61,4349083220.0383,381.448814653456,5.39064357287582,4.3490832200383
South Africa,2018,111372874801.582,-1542500842.23018,405260723892.517,109386469771.038,4.32,1986405030.5440063,405.26072389251703,-1.54250084223018,1.9864050305440064
South Africa,2019,105833418675.255,-1975160486.06064,389330032224.269,103894555725.516,5.37,1938862949.7389984,389.33003222426896,-1.97516048606064,1.9388629497389984
South Africa,2020,94127119249.9362,-5089414842.71078,337974655408.055,79047884988.7324,4.4,15079234261.203796,337.974655408055,-5.08941484271078,15.079234261203796
South Africa,2021,131089701926.385,-40557211850.6501,420886877628.703,104881328386.607,4.46,26208373539.778,420.886877628703,-40.5572118506501,26.208373539777998
South Africa,2022,136010327881.499,-6864356333.06894,406920004594.074,127668848270.28,4.66,8341479611.218994,406.920004594074,-6.86435633306894,8.341479611218993
South Africa,2023,124671161952.937,-6254237592.44985,380699271814.508,123453679368.749,,1217482584.1880035,380.699271814508,-6.25423759244985,1.2174825841880035
Spain,1975,13255142353.6877,-512692421.605573,114695060869.565,17745788308.3119,,-4490645954.624201,114.695060869565,-0.512692421605573,-4.490645954624201
Spain,1976,14120655083.8072,-284957984.069447,118422534195.474,19106646744.0624,,-4985991660.255201,118.422534195474,-0.284957984069447,-4.985991660255201
Spain,1977,16752785674.1105,-492183544.446718,132354665936.473,19631712028.138,,-2878926354.0275,132.354665936473,-0.49218354444671797,-2.8789263540275
Spain,1978,21686530054.1323,-1076400592.26457,160484969618.056,20739098335.6073,,947431718.5250015,160.484969618056,-1.07640059226457,0.9474317185250015
Spain,1979,28642085668.9177,-1263982458.59128,214448666336.143,28324729279.5544,,317356389.3633003,214.448666336143,-1.26398245859128,0.31735638936330035
Spain,1980,32140119734.3654,-1181923855.23927,232600556973.776,38004392250.591,,-5864272516.225605,232.600556973776,-1.18192385523927,-5.864272516225605
Spain,1981,32304588124.3886,-1435580283.28161,202663023968.283,36800778450.6551,,-4496190326.266499,202.663023968283,-1.43558028328161,-4.496190326266499
Spain,1982,32829845880.0808,-1271590058.23535,195856752991.065,36495081173.692,,-3665235293.6112022,195.856752991065,-1.2715900582353499,-3.665235293611202
Spain,1983,31369174587.8346,-1379226621.31293,170829074245.94,32946371940.5127,,-1577197352.6781006,170.82907424594,-1.37922662131293,-1.5771973526781007
Spain,1984,35303331788.2073,-1523434735.62437,171979977230.387,32123691724.3312,,3179640063.8760986,171.979977230387,-1.52343473562437,3.1796400638760987
Spain,1985,36682699054.5013,-1717597791.71646,180664322896.282,33270390560.4252,,3412308494.0760956,180.66432289628202,-1.71759779171646,3.4123084940760955
Spain,1986,44711437221.5226,-3073017463.95036,251141555185.933,40056170790.0111,,4655266431.5114975,251.14155518593302,-3.07301746395036,4.655266431511498
